dataset,arch,config,epoch_n,test_acc_none_mean,test_acc_none_std,test_acc_none_count,test_acc_hidden_mean,test_acc_hidden_std,test_acc_hidden_count
emnist,shallow,drop,10,0.8141033434650456,0.004252373600600789,7,0.381724924012158,0.024275332688666572,7
emnist,shallow,drop,25,0.8254483282674772,0.0023821350185381056,7,0.36775835866261397,0.01690241155302242,7
emnist,shallow,drop,50,0.833130699088146,0.002166408798415309,7,0.3526139817629179,0.014142683407856694,7
emnist,shallow,drop,75,0.8395364741641337,0.0019489955659177625,7,0.3310182370820668,0.012489486621890426,7
emnist,shallow,drop,100,0.8409878419452887,0.0011809856892690135,7,0.3343768996960486,0.014806600993105164,7
emnist,shallow,drop,150,0.8466489361702128,0.0009759829038668793,7,0.3252507598784194,0.01521343902833666,7
emnist,shallow,drop,200,0.8487234042553192,0.001447942296682581,7,0.3138981762917933,0.019332325013976227,7
emnist,shallow,ln,10,0.8343617021276596,0.0018178731373016254,7,0.2870896656534954,0.031733731009152326,7
emnist,shallow,ln,25,0.8494072948328267,0.002624310283153387,7,0.2557218844984802,0.04108611154042723,7
emnist,shallow,ln,50,0.8587386018237082,0.001444588633125365,7,0.2196200607902735,0.025496344692172126,7
emnist,shallow,ln,75,0.8631610942249239,0.001860652475843365,7,0.2025835866261398,0.0251456234307057,7
emnist,shallow,ln,100,0.8668085106382979,0.001261360029207944,7,0.18505319148936164,0.032990732199296845,7
emnist,shallow,ln,150,0.8701063829787233,0.0018225363509587124,7,0.17332066869300908,0.025696809008730143,7
emnist,shallow,ln,200,0.8715653495440729,0.0017045796675115709,7,0.16699848024316102,0.02585520165682494,7
emnist,shallow,ln_drop,10,0.818548632218845,0.002761472476374128,7,0.38506838905775076,0.027235301567434436,7
emnist,shallow,ln_drop,25,0.8318768996960486,0.002183382522678299,7,0.3369908814589665,0.019112575238262566,7
emnist,shallow,ln_drop,50,0.8395364741641337,0.0014105657847345756,7,0.30023556231003035,0.01712603118616088,7
emnist,shallow,ln_drop,75,0.841968085106383,0.0016328429957223945,7,0.2654255319148936,0.02043051800844156,7
emnist,shallow,ln_drop,100,0.8450455927051672,0.0012547738069823963,7,0.264756838905775,0.010614506070429647,7
emnist,shallow,ln_drop,150,0.8474620060790273,0.0019066791612987386,7,0.23994680851063827,0.011213526290718848,7
emnist,shallow,ln_drop,200,0.848822188449848,0.0015390117611833144,7,0.2404559270516717,0.011824148530776828,7
emnist,shallow,plain,10,0.8310562310030395,0.0019767941701404807,7,0.22862462006079023,0.017781250811577855,7
emnist,shallow,plain,25,0.841998480243161,0.0037649477178001624,7,0.22719604863221882,0.02591365977301752,7
emnist,shallow,plain,50,0.8521580547112462,0.0017832659065108148,7,0.2247492401215805,0.019355020724997556,7
emnist,shallow,plain,75,0.856322188449848,0.001434010910031857,7,0.21319908814589664,0.02014517039472732,7
emnist,shallow,plain,100,0.8617553191489362,0.0012230187490057255,7,0.2021732522796352,0.032382645380367024,7
emnist,shallow,plain,150,0.8686702127659575,0.0006368186168818455,7,0.17867781155015194,0.029624387505557594,7
emnist,shallow,plain,200,0.873647416413374,0.0011481877745666209,7,0.17030395136778112,0.027888234367901513,7
mnist,deep,drop,10,0.9788857142857142,0.0010945753688509643,7,0.7675428571428571,0.04099775835916141,7
mnist,deep,drop,25,0.9837571428571429,0.0008638231741452966,7,0.7859285714285714,0.02255945583605788,7
mnist,deep,drop,50,0.9851857142857143,0.0008745066636463464,7,0.7977142857142857,0.020766834823136373,7
mnist,deep,drop,75,0.9859142857142856,0.0007776643908280413,7,0.7651714285714286,0.04044315823002754,7
mnist,deep,drop,100,0.9861714285714286,0.0006343350474165136,7,0.7758285714285714,0.0226340977499078,7
mnist,deep,drop,150,0.9870857142857143,0.0003716116764786073,7,0.763,0.03342663608561293,7
mnist,deep,drop,200,0.9871714285714285,0.0006524678426668473,7,0.7649142857142858,0.031226026995196842,7
mnist,deep,ln,10,0.9798857142857144,0.0012641579165971755,7,0.8201571428571429,0.019570118134787113,7
mnist,deep,ln,25,0.9830142857142857,0.0016128944700223359,7,0.8273571428571429,0.01569573797169761,7
mnist,deep,ln,50,0.9842285714285713,0.0014625483304997347,7,0.8246857142857144,0.019080568525022948,7
mnist,deep,ln,75,0.9856857142857143,0.0011156889820921768,7,0.8179428571428572,0.018232284291228855,7
