dataset,arch,config,K,prin_mean,prin_std,linear_mean,linear_std,n
mnist,deep,plain,30,0.7596142857142857,0.03093500867794869,0.9870142857142857,0.0009423880506963256,7
mnist,deep,plain,40,0.7826285714285713,0.01906809851433489,0.9870142857142857,0.0009423880506963256,7
mnist,deep,plain,50,0.7961142857142857,0.016221840069427874,0.9870142857142857,0.0009423880506963256,7
mnist,deep,plain,75,0.8124714285714286,0.024517049461256886,0.9870142857142857,0.0009423880506963256,7
mnist,deep,plain,100,0.8265,0.029012985598406326,0.9870142857142857,0.0009423880506963256,7
mnist,shallow,drop,20,0.8185714285714285,0.031900873252713846,0.9869571428571428,0.0007976154939508732,7
mnist,shallow,drop,25,0.8473571428571428,0.020520465974473455,0.9869571428571428,0.0007976154939508732,7
mnist,shallow,drop,30,0.8569428571428571,0.01703935221214481,0.9869571428571428,0.0007976154939508732,7
mnist,shallow,drop,40,0.8799142857142856,0.008774096073372007,0.9869571428571428,0.0007976154939508732,7
mnist,shallow,drop,50,0.8884,0.006565312889218097,0.9869571428571428,0.0007976154939508732,7
mnist,shallow,drop,75,0.9039428571428572,0.006391102446072217,0.9869571428571428,0.0007976154939508732,7
mnist,shallow,drop,100,0.9122857142857143,0.007907470849651939,0.9869571428571428,0.0007976154939508732,7
mnist,shallow,ln,20,0.8308,0.030548104141937638,0.9871857142857143,0.0010431180365112985,7
mnist,shallow,ln,25,0.8441714285714286,0.02822520825348114,0.9871857142857143,0.0010431180365112985,7
mnist,shallow,ln,30,0.8566285714285715,0.018158626442705276,0.9871857142857143,0.0010431180365112985,7
mnist,shallow,ln,40,0.8736285714285714,0.01832791261852752,0.9871857142857143,0.0010431180365112985,7
mnist,shallow,ln,50,0.8819857142857143,0.016724575587183946,0.9871857142857143,0.0010431180365112985,7
mnist,shallow,ln,75,0.8979142857142858,0.016302190913230923,0.9871857142857143,0.0010431180365112985,7
mnist,shallow,ln,100,0.9096142857142857,0.014411850282716304,0.9871857142857143,0.0010431180365112985,7
mnist,shallow,ln_drop,20,0.7883714285714286,0.027412631777200474,0.9870428571428571,0.0009306935457982066,7
mnist,shallow,ln_drop,25,0.8095714285714285,0.02932323960534341,0.9870428571428571,0.0009306935457982066,7
mnist,shallow,ln_drop,30,0.8178,0.02253974267821174,0.9870428571428571,0.0009306935457982066,7
mnist,shallow,ln_drop,40,0.8477285714285714,0.00885206459641181,0.9870428571428571,0.0009306935457982066,7
mnist,shallow,ln_drop,50,0.8628142857142856,0.010287116306563376,0.9870428571428571,0.0009306935457982066,7
mnist,shallow,ln_drop,75,0.8822428571428571,0.007541851484186336,0.9870428571428571,0.0009306935457982066,7
mnist,shallow,ln_drop,100,0.8872428571428571,0.006024078668935513,0.9870428571428571,0.0009306935457982066,7
mnist,shallow,plain,20,0.7890375000000001,0.02022685184882424,0.9871125000000001,0.0003870677312453568,8
mnist,shallow,plain,25,0.8074125,0.021924574437961482,0.9871125000000001,0.0003870677312453568,8
mnist,shallow,plain,30,0.82565,0.016624164855500473,0.9871125000000001,0.0003870677312453568,8
mnist,shallow,plain,40,0.844825,0.014503373991690952,0.9871125000000001,0.0003870677312453568,8
mnist,shallow,plain,50,0.8554375,0.014785894581371424,0.9871125000000001,0.0003870677312453568,8
mnist,shallow,plain,75,0.8733125,0.01591759471241087,0.9871125000000001,0.0003870677312453568,8
mnist,shallow,plain,100,0.8806,0.017420677369149568,0.9871125000000001,0.0003870677312453568,8
