dataset,arch,config,K,prin_mean,prin_std,linear_mean,linear_std,n
emnist,shallow,ln,25,0.19111702127659572,0.01701019142583184,0.8715653495440729,0.0017045796675115709,7
emnist,shallow,ln,30,0.2127431610942249,0.022032855273542817,0.8715653495440729,0.0017045796675115709,7
emnist,shallow,ln,40,0.24477963525835864,0.020623908043932677,0.8715653495440729,0.0017045796675115709,7
emnist,shallow,ln,50,0.27047872340425533,0.01754238868095706,0.8715653495440729,0.0017045796675115709,7
emnist,shallow,ln,75,0.3147492401215805,0.024665613308779723,0.8715653495440729,0.0017045796675115709,7
emnist,shallow,ln,100,0.34175531914893614,0.018148616062295533,0.8715653495440729,0.0017045796675115709,7
emnist,shallow,ln_drop,20,0.2404559270516717,0.011824148530776828,0.848822188449848,0.0015390117611833144,7
emnist,shallow,ln_drop,25,0.2649468085106383,0.014434606133618074,0.848822188449848,0.0015390117611833144,7
emnist,shallow,ln_drop,30,0.278693009118541,0.014988768276928629,0.848822188449848,0.0015390117611833144,7
emnist,shallow,ln_drop,40,0.29243920972644377,0.018077789210492842,0.848822188449848,0.0015390117611833144,7
emnist,shallow,ln_drop,50,0.3150911854103343,0.019278122989480662,0.848822188449848,0.0015390117611833144,7
emnist,shallow,ln_drop,75,0.3483662613981763,0.01641103894420659,0.848822188449848,0.0015390117611833144,7
emnist,shallow,ln_drop,100,0.36379179331306993,0.014007475338789268,0.848822188449848,0.0015390117611833144,7
emnist,shallow,plain,20,0.17030395136778112,0.027888234367901513,0.873647416413374,0.0011481877745666209,7
emnist,shallow,plain,25,0.19333586626139818,0.025632111946967715,0.873647416413374,0.0011481877745666209,7
emnist,shallow,plain,30,0.21239361702127657,0.019991816833515013,0.873647416413374,0.0011481877745666209,7
emnist,shallow,plain,40,0.24049392097264435,0.024533056551974165,0.873647416413374,0.0011481877745666209,7
emnist,shallow,plain,50,0.2638601823708206,0.02098487641249797,0.873647416413374,0.0011481877745666209,7
emnist,shallow,plain,75,0.2998024316109422,0.02487231074107069,0.873647416413374,0.0011481877745666209,7
emnist,shallow,plain,100,0.32208206686930085,0.028944226503060763,0.873647416413374,0.0011481877745666209,7
